Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
155,1,GradientDescent,2000,0.01,5,2090.5,127,78,61.95
156,1,GradientDescent,2000,0.2,5,2075.47,127,78,61.95
157,1,GradientDescent,2000,0.4,5,2138.62,127,78,61.95
158,1,GradientDescent,2000,0.6,5,2069.88,127,78,61.95
159,1,GradientDescent,2000,0.9,5,2153.82,127,78,61.95
160,1,GradientDescent,5000,0.01,1,1833.74,127,78,61.95
161,1,GradientDescent,5000,0.2,1,1819.79,172,33,83.9
162,1,GradientDescent,5000,0.4,1,1875.42,178,27,86.83
163,1,GradientDescent,5000,0.6,1,1830.06,178,27,86.83
164,1,GradientDescent,5000,0.9,1,2929.03,177,28,86.34
165,1,GradientDescent,5000,0.01,3,2918.96,127,78,61.95
166,1,GradientDescent,5000,0.2,3,2951.17,127,78,61.95
167,1,GradientDescent,5000,0.4,3,2893.9,180,25,87.8
168,1,GradientDescent,5000,0.6,3,2946.65,127,78,61.95
169,1,GradientDescent,5000,0.9,3,2937.58,163,42,79.51
170,1,GradientDescent,5000,0.01,5,3956.83,127,78,61.95
171,1,GradientDescent,5000,0.2,5,3987.54,127,78,61.95
172,1,GradientDescent,5000,0.4,5,3987.99,127,78,61.95
173,1,GradientDescent,5000,0.6,5,4459.73,127,78,61.95
174,1,GradientDescent,5000,0.9,5,5965.53,127,78,61.95
175,1,GradientDescent,10000,0.01,1,4057.23,127,78,61.95
176,1,GradientDescent,10000,0.2,1,4132.36,177,28,86.34
177,1,GradientDescent,10000,0.4,1,4502.97,177,28,86.34
178,1,GradientDescent,10000,0.6,1,3751.62,177,28,86.34
179,1,GradientDescent,10000,0.9,1,4229.5,177,28,86.34
180,1,GradientDescent,10000,0.01,3,7436.03,127,78,61.95
181,1,GradientDescent,10000,0.2,3,5689.98,127,78,61.95
182,1,GradientDescent,10000,0.4,3,6236.52,177,28,86.34
183,1,GradientDescent,10000,0.6,3,6161.35,177,28,86.34
184,1,GradientDescent,10000,0.9,3,6272.65,177,28,86.34
185,1,GradientDescent,10000,0.01,5,7195.01,127,78,61.95
186,1,GradientDescent,10000,0.2,5,7252.29,127,78,61.95
187,1,GradientDescent,10000,0.4,5,7446.04,127,78,61.95
188,1,GradientDescent,10000,0.6,5,8064.5,127,78,61.95
189,1,GradientDescent,10000,0.9,5,7225.91,127,78,61.95
190,1,GradientDescent,20000,0.01,1,6530.84,127,78,61.95
191,1,GradientDescent,20000,0.2,1,6582.96,177,28,86.34
192,1,GradientDescent,20000,0.4,1,6685.04,177,28,86.34
193,1,GradientDescent,20000,0.6,1,6552.18,177,28,86.34
194,1,GradientDescent,20000,0.9,1,6606.48,178,27,86.83
195,1,GradientDescent,20000,0.01,3,10189.13,127,78,61.95
196,1,GradientDescent,20000,0.2,3,10126.78,127,78,61.95
197,1,GradientDescent,20000,0.4,3,10022.08,177,28,86.34
198,1,GradientDescent,20000,0.6,3,10002.05,178,27,86.83
199,1,GradientDescent,20000,0.9,3,9970.07,179,26,87.32
200,1,GradientDescent,20000,0.01,5,13365.27,127,78,61.95
201,1,GradientDescent,20000,0.2,5,13249.12,127,78,61.95
202,1,GradientDescent,20000,0.4,5,14372.34,127,78,61.95
203,1,GradientDescent,20000,0.6,5,13438.34,127,78,61.95
204,1,GradientDescent,20000,0.9,5,13370.98,127,78,61.95
205,1,GradientDescent,50000,0.01,1,15890.95,134,71,65.37
206,1,GradientDescent,50000,0.2,1,16033.5,177,28,86.34
207,1,GradientDescent,50000,0.4,1,16051.75,179,26,87.32
208,1,GradientDescent,50000,0.6,1,15902.31,179,26,87.32
209,1,GradientDescent,50000,0.9,1,16152.83,182,23,88.78
210,1,GradientDescent,50000,0.01,3,24264.42,127,78,61.95
