Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
470,2,GradientDescent,50,0.2,1,300.02,127,78,61.95
471,2,GradientDescent,50,0.4,1,306.7,127,78,61.95
472,2,GradientDescent,50,0.6,1,297.84,127,78,61.95
473,2,GradientDescent,50,0.9,1,297.72,127,78,61.95
474,2,GradientDescent,50,0.01,3,556.85,127,78,61.95
475,2,GradientDescent,50,0.2,3,542.79,127,78,61.95
476,2,GradientDescent,50,0.4,3,548.67,127,78,61.95
477,2,GradientDescent,50,0.6,3,2226.07,127,78,61.95
478,2,GradientDescent,50,0.9,3,564.63,127,78,61.95
479,2,GradientDescent,50,0.01,5,877.42,78,127,38.05
480,2,GradientDescent,50,0.2,5,876.93,127,78,61.95
481,2,GradientDescent,50,0.4,5,860.05,127,78,61.95
482,2,GradientDescent,50,0.6,5,872.86,127,78,61.95
483,2,GradientDescent,50,0.9,5,868.25,127,78,61.95
484,2,GradientDescent,100,0.01,1,323.3,127,78,61.95
485,2,GradientDescent,100,0.2,1,320.7,127,78,61.95
486,2,GradientDescent,100,0.4,1,318.4,127,78,61.95
487,2,GradientDescent,100,0.6,1,316.36,127,78,61.95
488,2,GradientDescent,100,0.9,1,326.03,127,78,61.95
489,2,GradientDescent,100,0.01,3,573.69,127,78,61.95
490,2,GradientDescent,100,0.2,3,586.5,127,78,61.95
491,2,GradientDescent,100,0.4,3,584.56,127,78,61.95
492,2,GradientDescent,100,0.6,3,572.68,127,78,61.95
493,2,GradientDescent,100,0.9,3,583.0,127,78,61.95
494,2,GradientDescent,100,0.01,5,898.89,78,127,38.05
495,2,GradientDescent,100,0.2,5,2572.77,127,78,61.95
496,2,GradientDescent,100,0.4,5,906.19,127,78,61.95
497,2,GradientDescent,100,0.6,5,905.98,127,78,61.95
498,2,GradientDescent,100,0.9,5,901.55,127,78,61.95
499,2,GradientDescent,200,0.01,1,350.95,127,78,61.95
500,2,GradientDescent,200,0.2,1,361.17,127,78,61.95
501,2,GradientDescent,200,0.4,1,347.99,127,78,61.95
502,2,GradientDescent,200,0.6,1,349.45,127,78,61.95
503,2,GradientDescent,200,0.9,1,359.15,127,78,61.95
504,2,GradientDescent,200,0.01,3,621.83,78,127,38.05
505,2,GradientDescent,200,0.2,3,636.99,127,78,61.95
506,2,GradientDescent,200,0.4,3,633.11,127,78,61.95
507,2,GradientDescent,200,0.6,3,621.53,127,78,61.95
508,2,GradientDescent,200,0.9,3,625.84,127,78,61.95
509,2,GradientDescent,200,0.01,5,956.03,127,78,61.95
510,2,GradientDescent,200,0.2,5,2322.89,127,78,61.95
511,2,GradientDescent,200,0.4,5,964.71,127,78,61.95
512,2,GradientDescent,200,0.6,5,959.35,127,78,61.95
513,2,GradientDescent,200,0.9,5,952.57,127,78,61.95
514,2,GradientDescent,500,0.01,1,436.44,127,78,61.95
515,2,GradientDescent,500,0.2,1,446.39,127,78,61.95
516,2,GradientDescent,500,0.4,1,439.82,127,78,61.95
517,2,GradientDescent,500,0.6,1,448.18,127,78,61.95
518,2,GradientDescent,500,0.9,1,438.54,132,73,64.39
519,2,GradientDescent,500,0.01,3,764.6,127,78,61.95
520,2,GradientDescent,500,0.2,3,765.45,127,78,61.95
521,2,GradientDescent,500,0.4,3,756.41,127,78,61.95
522,2,GradientDescent,500,0.6,3,767.77,127,78,61.95
523,2,GradientDescent,500,0.9,3,761.28,127,78,61.95
524,2,GradientDescent,500,0.01,5,2115.16,127,78,61.95
525,2,GradientDescent,500,0.2,5,1143.08,127,78,61.95
526,2,GradientDescent,500,0.4,5,1138.35,127,78,61.95
527,2,GradientDescent,500,0.6,5,1145.25,127,78,61.95
528,2,GradientDescent,500,0.9,5,1131.8,127,78,61.95
529,2,GradientDescent,1000,0.01,1,593.31,127,78,61.95
530,2,GradientDescent,1000,0.2,1,597.21,127,78,61.95
531,2,GradientDescent,1000,0.4,1,589.29,171,34,83.41
532,2,GradientDescent,1000,0.6,1,602.09,169,36,82.44
533,2,GradientDescent,1000,0.9,1,601.97,175,30,85.37
534,2,GradientDescent,1000,0.01,3,994.89,127,78,61.95
535,2,GradientDescent,1000,0.2,3,999.94,127,78,61.95
536,2,GradientDescent,1000,0.4,3,1935.44,127,78,61.95
537,2,GradientDescent,1000,0.6,3,1014.1,127,78,61.95
538,2,GradientDescent,1000,0.9,3,1002.95,127,78,61.95
539,2,GradientDescent,1000,0.01,5,1447.16,127,78,61.95
540,2,GradientDescent,1000,0.2,5,1447.95,127,78,61.95
541,2,GradientDescent,1000,0.4,5,1439.56,127,78,61.95
542,2,GradientDescent,1000,0.6,5,1443.35,127,78,61.95
543,2,GradientDescent,1000,0.9,5,1445.34,127,78,61.95
544,2,GradientDescent,2000,0.01,1,898.55,127,78,61.95
545,2,GradientDescent,2000,0.2,1,897.06,167,38,81.46
546,2,GradientDescent,2000,0.4,1,893.8,171,34,83.41
547,2,GradientDescent,2000,0.6,1,894.5,178,27,86.83
548,2,GradientDescent,2000,0.9,1,897.73,178,27,86.83
549,2,GradientDescent,2000,0.01,3,2439.09,127,78,61.95
550,2,GradientDescent,2000,0.2,3,1471.93,127,78,61.95
551,2,GradientDescent,2000,0.4,3,1615.45,127,78,61.95
552,2,GradientDescent,2000,0.6,3,1472.76,127,78,61.95
553,2,GradientDescent,2000,0.9,3,1482.53,177,28,86.34
554,2,GradientDescent,2000,0.01,5,2059.67,127,78,61.95
555,2,GradientDescent,2000,0.2,5,2051.45,127,78,61.95
556,2,GradientDescent,2000,0.4,5,2048.16,127,78,61.95
557,2,GradientDescent,2000,0.6,5,2045.98,127,78,61.95
558,2,GradientDescent,2000,0.9,5,2053.1,127,78,61.95
559,2,GradientDescent,5000,0.01,1,2789.26,127,78,61.95
560,2,GradientDescent,5000,0.2,1,1855.11,173,32,84.39
561,2,GradientDescent,5000,0.4,1,1847.99,178,27,86.83
562,2,GradientDescent,5000,0.6,1,1844.27,179,26,87.32
563,2,GradientDescent,5000,0.9,1,1850.58,177,28,86.34
564,2,GradientDescent,5000,0.01,3,2867.86,127,78,61.95
565,2,GradientDescent,5000,0.2,3,2871.66,127,78,61.95
566,2,GradientDescent,5000,0.4,3,2881.71,127,78,61.95
567,2,GradientDescent,5000,0.6,3,2877.99,127,78,61.95
568,2,GradientDescent,5000,0.9,3,2863.06,174,31,84.88
569,2,GradientDescent,5000,0.01,5,3893.67,127,78,61.95
570,2,GradientDescent,5000,0.2,5,3905.07,127,78,61.95
571,2,GradientDescent,5000,0.4,5,3895.29,127,78,61.95
572,2,GradientDescent,5000,0.6,5,4906.58,127,78,61.95
573,2,GradientDescent,5000,0.9,5,3923.25,127,78,61.95
574,2,GradientDescent,10000,0.01,1,3381.25,127,78,61.95
575,2,GradientDescent,10000,0.2,1,3410.91,178,27,86.83
576,2,GradientDescent,10000,0.4,1,3414.15,177,28,86.34
577,2,GradientDescent,10000,0.6,1,3380.46,177,28,86.34
578,2,GradientDescent,10000,0.9,1,3382.29,178,27,86.83
579,2,GradientDescent,10000,0.01,3,5217.62,127,78,61.95
580,2,GradientDescent,10000,0.2,3,5195.56,127,78,61.95
581,2,GradientDescent,10000,0.4,3,5179.65,175,30,85.37
582,2,GradientDescent,10000,0.6,3,5199.56,176,29,85.85
583,2,GradientDescent,10000,0.9,3,5180.87,177,28,86.34
584,2,GradientDescent,10000,0.01,5,6947.64,127,78,61.95
585,2,GradientDescent,10000,0.2,5,6954.0,127,78,61.95
586,2,GradientDescent,10000,0.4,5,7981.55,127,78,61.95
587,2,GradientDescent,10000,0.6,5,7012.73,127,78,61.95
588,2,GradientDescent,10000,0.9,5,7009.51,127,78,61.95
589,2,GradientDescent,20000,0.01,1,6441.7,127,78,61.95
590,2,GradientDescent,20000,0.2,1,6463.72,178,27,86.83
591,2,GradientDescent,20000,0.4,1,6507.34,177,28,86.34
592,2,GradientDescent,20000,0.6,1,6497.1,179,26,87.32
593,2,GradientDescent,20000,0.9,1,6473.73,177,28,86.34
594,2,GradientDescent,20000,0.01,3,9868.01,127,78,61.95
595,2,GradientDescent,20000,0.2,3,9876.54,176,29,85.85
596,2,GradientDescent,20000,0.4,3,9862.45,177,28,86.34
597,2,GradientDescent,20000,0.6,3,9810.79,178,27,86.83
598,2,GradientDescent,20000,0.9,3,9837.45,177,28,86.34
599,2,GradientDescent,20000,0.01,5,13047.47,127,78,61.95
600,2,GradientDescent,20000,0.2,5,14207.67,127,78,61.95
601,2,GradientDescent,20000,0.4,5,13157.13,127,78,61.95
602,2,GradientDescent,20000,0.6,5,13169.65,127,78,61.95
603,2,GradientDescent,20000,0.9,5,13173.64,127,78,61.95
604,2,GradientDescent,50000,0.01,1,15808.88,171,34,83.41
605,2,GradientDescent,50000,0.2,1,15805.29,176,29,85.85
606,2,GradientDescent,50000,0.4,1,15678.14,179,26,87.32
607,2,GradientDescent,50000,0.6,1,15664.21,181,24,88.29
608,2,GradientDescent,50000,0.9,1,15626.86,183,22,89.27
609,2,GradientDescent,50000,0.01,3,23894.3,127,78,61.95
610,2,GradientDescent,50000,0.2,3,30186.45,177,28,86.34
611,2,GradientDescent,50000,0.4,3,35438.78,180,25,87.8
612,2,GradientDescent,50000,0.6,3,30175.33,179,26,87.32
613,2,GradientDescent,50000,0.9,3,33490.39,179,26,87.32
614,2,GradientDescent,50000,0.01,5,35796.37,127,78,61.95
615,2,GradientDescent,50000,0.2,5,35086.29,127,78,61.95
616,2,GradientDescent,50000,0.4,5,35652.01,127,78,61.95
617,2,GradientDescent,50000,0.6,5,35697.0,127,78,61.95
618,2,GradientDescent,50000,0.9,5,35677.41,127,78,61.95
838,3,GradientDescent,10,0.01,1,641.9,77,128,37.56
839,3,GradientDescent,10,0.2,1,291.72,78,127,38.05
840,3,GradientDescent,10,0.4,1,296.08,127,78,61.95
841,3,GradientDescent,10,0.6,1,292.63,127,78,61.95
842,3,GradientDescent,10,0.9,1,293.36,127,78,61.95
843,3,GradientDescent,10,0.01,3,537.31,78,127,38.05
844,3,GradientDescent,10,0.2,3,540.86,78,127,38.05
845,3,GradientDescent,10,0.4,3,537.98,127,78,61.95
846,3,GradientDescent,10,0.6,3,2004.96,127,78,61.95
847,3,GradientDescent,10,0.9,3,564.46,127,78,61.95
848,3,GradientDescent,10,0.01,5,859.31,78,127,38.05
849,3,GradientDescent,10,0.2,5,863.29,127,78,61.95
850,3,GradientDescent,10,0.4,5,850.01,78,127,38.05
851,3,GradientDescent,10,0.6,5,851.07,127,78,61.95
852,3,GradientDescent,10,0.9,5,838.09,127,78,61.95
853,3,GradientDescent,20,0.01,1,291.95,78,127,38.05
854,3,GradientDescent,20,0.2,1,297.22,127,78,61.95
855,3,GradientDescent,20,0.4,1,293.97,127,78,61.95
856,3,GradientDescent,20,0.6,1,290.96,127,78,61.95
857,3,GradientDescent,20,0.9,1,295.47,127,78,61.95
858,3,GradientDescent,20,0.01,3,540.42,127,78,61.95
859,3,GradientDescent,20,0.2,3,536.89,127,78,61.95
860,3,GradientDescent,20,0.4,3,539.46,127,78,61.95
861,3,GradientDescent,20,0.6,3,542.22,127,78,61.95
862,3,GradientDescent,20,0.9,3,537.54,127,78,61.95
863,3,GradientDescent,20,0.01,5,835.19,78,127,38.05
864,3,GradientDescent,20,0.2,5,830.84,127,78,61.95
865,3,GradientDescent,20,0.4,5,2586.18,127,78,61.95
866,3,GradientDescent,20,0.6,5,988.63,127,78,61.95
867,3,GradientDescent,20,0.9,5,928.0,127,78,61.95
868,3,GradientDescent,50,0.01,1,305.22,127,78,61.95
869,3,GradientDescent,50,0.2,1,311.85,127,78,61.95
870,3,GradientDescent,50,0.4,1,308.79,127,78,61.95
871,3,GradientDescent,50,0.6,1,307.31,127,78,61.95
872,3,GradientDescent,50,0.9,1,313.9,127,78,61.95
873,3,GradientDescent,50,0.01,3,575.93,127,78,61.95
874,3,GradientDescent,50,0.2,3,564.87,127,78,61.95
875,3,GradientDescent,50,0.4,3,561.99,127,78,61.95
876,3,GradientDescent,50,0.6,3,561.87,127,78,61.95
877,3,GradientDescent,50,0.9,3,568.42,127,78,61.95
878,3,GradientDescent,50,0.01,5,863.94,127,78,61.95
879,3,GradientDescent,50,0.2,5,856.44,127,78,61.95
880,3,GradientDescent,50,0.4,5,883.27,127,78,61.95
881,3,GradientDescent,50,0.6,5,885.24,127,78,61.95
882,3,GradientDescent,50,0.9,5,2597.94,127,78,61.95
883,3,GradientDescent,100,0.01,1,326.84,78,127,38.05
884,3,GradientDescent,100,0.2,1,330.0,127,78,61.95
885,3,GradientDescent,100,0.4,1,332.73,127,78,61.95
886,3,GradientDescent,100,0.6,1,324.92,127,78,61.95
887,3,GradientDescent,100,0.9,1,328.77,127,78,61.95
888,3,GradientDescent,100,0.01,3,594.59,78,127,38.05
889,3,GradientDescent,100,0.2,3,592.32,127,78,61.95
890,3,GradientDescent,100,0.4,3,588.13,127,78,61.95
891,3,GradientDescent,100,0.6,3,584.89,127,78,61.95
892,3,GradientDescent,100,0.9,3,593.07,127,78,61.95
893,3,GradientDescent,100,0.01,5,900.24,127,78,61.95
894,3,GradientDescent,100,0.2,5,908.26,127,78,61.95
895,3,GradientDescent,100,0.4,5,907.63,127,78,61.95
896,3,GradientDescent,100,0.6,5,890.25,127,78,61.95
897,3,GradientDescent,100,0.9,5,891.88,127,78,61.95
898,3,GradientDescent,200,0.01,1,353.71,127,78,61.95
899,3,GradientDescent,200,0.2,1,1879.76,127,78,61.95
900,3,GradientDescent,200,0.4,1,373.35,127,78,61.95
901,3,GradientDescent,200,0.6,1,364.44,127,78,61.95
902,3,GradientDescent,200,0.9,1,377.05,127,78,61.95
