Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
359,1,ConjugateGradient,10000,0.9,1,4411.99,178,27,86.83
360,1,ConjugateGradient,10000,0.01,3,6499.75,127,78,61.95
361,1,ConjugateGradient,10000,0.2,3,6218.07,78,127,38.05
362,1,ConjugateGradient,10000,0.4,3,6139.07,127,78,61.95
363,1,ConjugateGradient,10000,0.6,3,5867.76,127,78,61.95
364,1,ConjugateGradient,10000,0.9,3,6411.8,127,78,61.95
365,1,ConjugateGradient,10000,0.01,5,9655.35,127,78,61.95
366,1,ConjugateGradient,10000,0.2,5,8447.79,127,78,61.95
367,1,ConjugateGradient,10000,0.4,5,7521.73,127,78,61.95
368,1,ConjugateGradient,10000,0.6,5,7538.35,127,78,61.95
369,1,ConjugateGradient,10000,0.9,5,7117.89,78,127,38.05
370,1,ConjugateGradient,20000,0.01,1,8324.24,177,28,86.34
371,1,ConjugateGradient,20000,0.2,1,8302.77,182,23,88.78
372,1,ConjugateGradient,20000,0.4,1,8197.23,177,28,86.34
373,1,ConjugateGradient,20000,0.6,1,8189.81,184,21,89.76
374,1,ConjugateGradient,20000,0.9,1,8136.49,179,26,87.32
375,1,ConjugateGradient,20000,0.01,3,12222.38,177,28,86.34
376,1,ConjugateGradient,20000,0.2,3,14358.49,78,127,38.05
377,1,ConjugateGradient,20000,0.4,3,12554.67,179,26,87.32
378,1,ConjugateGradient,20000,0.6,3,11079.93,127,78,61.95
379,1,ConjugateGradient,20000,0.9,3,10565.26,127,78,61.95
380,1,ConjugateGradient,20000,0.01,5,16412.03,127,78,61.95
381,1,ConjugateGradient,20000,0.2,5,13802.2,127,78,61.95
382,1,ConjugateGradient,20000,0.4,5,31683.3,127,78,61.95
383,1,ConjugateGradient,20000,0.6,5,22145.26,172,33,83.9
384,1,ConjugateGradient,20000,0.9,5,14991.56,127,78,61.95
385,1,ConjugateGradient,50000,0.01,1,20288.14,177,28,86.34
386,1,ConjugateGradient,50000,0.2,1,20165.91,175,30,85.37
387,1,ConjugateGradient,50000,0.4,1,20106.37,186,19,90.73
388,1,ConjugateGradient,50000,0.6,1,20285.31,184,21,89.76
389,1,ConjugateGradient,50000,0.9,1,19875.61,189,16,92.2
390,1,ConjugateGradient,50000,0.01,3,29684.39,179,26,87.32
391,1,ConjugateGradient,50000,0.2,3,29378.15,127,78,61.95
392,1,ConjugateGradient,50000,0.4,3,29331.59,173,32,84.39
393,1,ConjugateGradient,50000,0.6,3,35463.49,82,123,40.0
394,1,ConjugateGradient,50000,0.9,3,25999.64,127,78,61.95
395,1,ConjugateGradient,50000,0.01,5,38770.49,127,78,61.95
396,1,ConjugateGradient,50000,0.2,5,40250.78,157,48,76.59
397,1,ConjugateGradient,50000,0.4,5,45390.28,140,65,68.29
398,1,ConjugateGradient,50000,0.6,5,78788.44,131,74,63.9
399,1,ConjugateGradient,50000,0.9,5,32722.49,127,78,61.95
619,2,ConjugateGradient,10,0.01,1,501.29,126,79,61.46
620,2,ConjugateGradient,10,0.2,1,440.24,127,78,61.95
621,2,ConjugateGradient,10,0.4,1,443.42,127,78,61.95
622,2,ConjugateGradient,10,0.6,1,441.81,127,78,61.95
623,2,ConjugateGradient,10,0.9,1,437.42,127,78,61.95
624,2,ConjugateGradient,10,0.01,3,1797.86,127,78,61.95
625,2,ConjugateGradient,10,0.2,3,720.73,127,78,61.95
626,2,ConjugateGradient,10,0.4,3,731.28,127,78,61.95
627,2,ConjugateGradient,10,0.6,3,709.36,127,78,61.95
628,2,ConjugateGradient,10,0.9,3,712.66,127,78,61.95
629,2,ConjugateGradient,10,0.01,5,981.3,78,127,38.05
630,2,ConjugateGradient,10,0.2,5,984.94,127,78,61.95
